10000 40000
105 5379 -12
105 6262 -17
106 7954 3
106 8023 8
106 8868 -15
106 9912 -12
107 2130 19
107 3544 -19
107 7051 -18
107 9195 10
107 9840 -16
107 9851 -6
108 3231 19
108 4317 -14
108 4584 -15
108 6048 2
108 6947 17
108 7499 1
108 8399 5
109 2453 2
109 4829 -5
109 4869 -15
109 4872 8
110 1352 11
110 8121 5
110 8449 14
111 1625 -3
111 3915 5
111 6059 13
111 8355 -11
112 374 8
112 3649 10
112 7613 -20
113 2905 -18
113 3785 9
113 5170 19
113 6577 -2
113 6629 16
114 763 -7
114 7221 -13
114 7791 -1
114 9631 0
115 6410 -20
115 8195 -9
115 9425 2
115 9504 16
116 1216 -7
116 4764 0
116 6908 -1
116 7214 15
116 8163 -11
117 1197 7
117 9355 16
118 2234 -12
118 9141 15
119 222 -11
119 2256 2
119 2650 -20
119 4927 -2
119 7343 -13
119 8772 2
119 9098 17
119 9329 -17
120 1846 4
120 4260 6
120 4397 3
121 521 -13
121 3300 4
121 4916 10
121 5152 17
121 5498 -8
121 7129 -12
121 7759 5
121 8687 12
122 2889 6
122 6145 -6
123 2162 -12
123 3941 17
123 4590 4
123 9097 6
124 8254 13
125 5500 2
125 5548 1
125 9406 -1
125 9704 6
126 9292 -18
127 1936 2
127 5925 9
127 5927 -11
127 8596 -3
128 196 18
128 2189 9
128 5801 -1
128 8284 -6
129 5727 -5
129 6534 13
129 7237 -14
130 588 14
130 1966 5
130 5468 -3
130 6292 -9
130 6347 -2
130 8763 -3
130 9604 13
131 162 2
131 5142 -19
131 5611 1
131 5840 4
131 8098 6
132 1077 1
132 1718 5
132 2677 12
132 3386 8
132 3896 -16
132 5783 11
132 8536 14
132 8720 -11
133 3948 -18
133 6641 19
134 7736 7
134 7738 9
135 1733 20
136 6845 10
137 2532 2
137 3181 13
137 7905 19
137 8737 -4
138 1261 4
138 8982 -17
138 9920 -4
139 236 -2
139 3220 7
139 3610 18
139 5854 10
139 8532 -5
140 303 -17
140 1655 -3
140 2908 8
140 4287 -14
140 4654 -1
141 9056 -12
142 1034 0
142 2687 -10
142 3092 8
142 7023 9
142 8678 -3
142 9254 15
143 5547 -1
143 9307 11
144 786 16
144 5932 20
144 9375 -4
144 9952 -17
145 2075 1
145 4646 20
145 5393 4
145 5438 -17
145 8915 -13
145 9550 -17
146 3096 -12
146 3666 5
146 4414 6
146 8914 13
147 1951 -12
147 3207 10
147 6720 -17
148 1410 17
149 668 -5
149 2962 -19
149 6789 10
149 8211 3
149 8578 -6
149 8876 18
149 8967 -14
150 1255 -10
150 3522 16
150 4887 1
150 6001 -20
150 6771 -20
150 9375 8
151 4732 -9
151 8532 -7
152 924 -13
152 8440 0
152 8902 -12
153 4509 -9
153 8861 -19
153 9120 -11
153 9358 -10
155 50 10
155 9104 11
156 760 13
156 1670 16
156 3232 16
156 5461 14
156 8873 18
157 721 -6
157 1394 -19
157 2679 -4
157 2731 -12
157 3281 -11
157 5276 13
157 9359 -12
157 9558 11
158 1111 -4
158 3610 2
158 5849 17
158 6986 -4
158 7872 -1
158 8364 15
159 3364 -11
159 9596 17
159 9630 14
160 161 19
160 1257 9
160 1531 -12
160 3003 -13
160 3939 -2
160 5560 2
160 6889 9
160 8132 -3
161 1070 -8
161 5625 17
161 5827 14
161 8507 -1
161 9418 -8
162 1074 1
162 7659 -17
163 565 20
163 4192 16
164 9073 -10
165 845 20
165 1178 -14
165 2174 2
165 2502 18
165 2663 -12
165 3873 -4
165 4122 8
165 4416 18
165 5371 9
165 6619 4
166 1636 13
166 3904 3
166 7076 -11
166 7959 -9
166 7992 -3
167 2005 0
167 4584 5
167 5741 -20
167 5800 8
167 7279 -12
167 7382 1
167 9892 -13
168 1868 5
168 2740 -2
168 6324 19
168 8002 16
169 107 -9
169 2805 -7
169 4153 -9
169 6774 -12
170 179 -2
170 3431 15
170 3626 -1
171 3593 8
171 5720 -20
171 7954 -5
172 3048 13
172 3358 6
173 7400 -6
173 7486 -6
173 9306 10
174 7360 5
175 2564 13
175 2902 0
175 4422 12
175 5012 -16
175 8810 -10
175 8835 9
176 2992 9
176 3890 7
176 4660 5
177 3003 -5
177 5114 0
177 5813 16
177 6725 -18
177 9047 -8
177 9867 2
178 2601 19
178 5556 -6
179 2972 0
179 6498 2
179 7688 11
179 8220 -1
180 1477 -20
180 2100 17
180 2388 -1
180 5409 -3
180 6096 10
180 6121 3
180 9384 1
181 6484 3
181 6760 6
181 7094 2
182 487 18
182 852 17
182 1473 3
182 1631 0
182 1664 19
182 5821 6
183 3173 7
183 4306 19
183 9589 -9
184 231 -13
184 4699 -8
184 6341 -10
184 6438 10
184 7069 15
184 7087 -7
185 1784 11
185 8136 13
186 3739 -10
187 1583 7
187 1705 4
187 1885 -15
187 5207 5
187 8990 19
188 3927 8
190 2575 -7
190 5204 -4
190 6095 -3
191 281 -19
191 1893 -3
191 4664 14
191 5459 18
191 6205 -1
191 6601 -8
191 9523 -13
192 263 11
192 1576 -8
192 2868 -3
192 6326 -11
192 9747 19
193 4690 5
194 4586 -19
194 5740 -3
194 5807 -2
194 8483 -7
194 8500 -20
195 2054 -15
196 2348 -19
196 3624 7
196 4738 0
196 5357 -20
196 5569 0
196 6371 20
196 7641 13
196 8288 18
197 80 14
197 2562 -20
197 3556 7
197 5839 -8
197 7465 10
197 8245 16
197 9059 -10
197 9508 14
198 1179 16
198 5309 3
198 7814 17
199 1154 -13
199 2889 16
200 2218 13
200 3581 3
200 6737 0
201 1467 5
201 2019 -17
201 2592 -7
201 6611 -3
201 7641 14
201 8156 -13
201 9643 8
202 3983 -10
202 9804 -3
203 412 -5
203 975 17
203 1375 9
203 3838 4
203 8055 20
204 109 7
204 2991 8
204 3386 -1
204 4685 19
204 5536 -15
204 5617 8
205 2593 -6
205 7762 -7
205 9264 8
206 404 6
206 1168 0
206 2407 3
206 2603 -12
206 3558 0
207 2788 0
207 3795 19
207 5273 -20
207 6824 8
208 1293 -16
208 1383 15
208 7286 8
209 3115 -16
209 3182 -15
209 3310 1
209 6010 -19
209 9879 -11
210 603 -12
210 1050 18
210 6109 1
210 8513 10
211 2494 15
211 4552 -20
211 4975 -2
211 7192 -14
211 8389 -6
212 729 -19
212 2531 16
212 4891 8
212 6615 -3
212 6689 12
213 817 -16
213 3564 0
213 4655 -10
213 5137 1
213 8065 0
214 146 20
214 2824 -9
214 2853 19
214 4106 8
214 4248 6
215 3107 -17
215 4210 3
215 7681 9
215 9261 3
215 9857 -7
216 823 11
216 4620 -12
216 5698 7
216 6552 -16
216 9763 11
217 510 13
217 8630 20
217 9328 -6
218 9671 9
219 5163 3
220 2357 11
221 7147 4
222 1650 -20
222 1893 14
222 6223 -19
222 6734 2
223 4385 -1
223 5865 19
223 6222 18
224 2097 12
224 2295 -13
224 6053 -14
224 6455 19
224 7826 14
224 8370 13
225 2747 -7
225 3168 -13
225 8632 -12
225 9742 15
226 22 14
226 904 3
226 1471 -12
226 1637 -11
226 5988 14
226 8906 8
227 129 1
227 2826 -13
227 4739 -20
227 6412 7
227 6792 13
227 7637 18
227 8139 11
227 9511 9
228 2918 2
228 3496 14
228 5761 -10
228 8680 -18
229 2937 -5
229 8103 -5
229 8592 16
230 149 6
230 3687 -20
230 7405 16
231 7438 -5
231 8681 7
232 2805 -9
232 9176 -8
232 9411 17
233 3533 -6
233 5701 -16
233 5980 20
233 7354 -3
233 8549 9
234 2846 -13
234 9905 18
235 1098 -9
236 2087 19
236 3656 -5
236 5331 -11
237 9545 -17
238 1278 -20
238 1331 18
238 8701 12
238 9344 -19
239 1283 -13
239 7197 0
240 1915 4
240 7002 -5
240 7631 -15
240 7717 10
241 4144 11
241 4620 19
241 5387 8
241 9756 -14
241 9829 13
242 428 7
242 1026 -5
242 3649 -11
242 4735 9
242 7394 6
242 7518 8
243 3126 -2
243 3443 -2
244 409 -10
244 4799 -9
244 7695 20
244 9872 5
245 3322 20
245 5934 -6
246 1262 -9
246 6576 18
246 9050 17
247 33 -8
247 652 -14
247 800 -7
247 2750 -8
247 3075 -9
247 4520 -10
247 7386 -11
247 9797 -16
248 3160 -13
248 4038 -18
248 5030 18
248 5281 -14
248 7704 -14
248 8092 6
248 9795 -8
249 6451 0
249 6532 -7
249 6573 -19
250 2789 18
250 9522 -11
251 5839 3
251 7261 -9
252 836 -4
252 1735 -13
252 5709 -13
253 3095 8
253 3479 9
254 4229 12
254 5165 11
254 6775 6
255 3345 5
255 8677 16
255 9255 13
256 5220 11
256 5922 -1
256 6220 -13
256 6414 -19
256 6442 17
257 599 18
257 7305 -6
257 9103 -9
257 9312 16
258 3505 -5
258 4571 -6
258 5143 -9
259 5492 -17
259 6953 -10
260 1077 -11
260 3139 3
260 4076 -8
260 8786 7
260 9145 -4
261 496 12
261 4670 2
262 902 5
262 6141 -7
262 6483 6
262 8790 -1
263 322 7
263 3583 14
263 4268 -1
263 6680 12
263 7945 17
264 480 20
264 803 -16
265 2650 -7
265 3340 0
265 3935 19
265 8718 10
265 9974 -7
266 2883 2
266 3269 6
266 5011 12
266 6497 18
266 7917 -12
266 9224 -4
267 1222 -5
267 3818 -14
267 4294 7
268 561 -4
268 2190 -11
268 4761 17
268 5330 3
268 6543 -2
268 8150 0
269 3097 2
269 4483 19
269 5914 8
269 7915 11
269 9229 9
270 780 8
270 1521 -15
270 3416 -19
270 3852 -15
271 213 5
271 4090 14
271 6763 -20
271 8650 16
273 1768 -1
273 2173 1
273 5637 -5
274 26 -3
274 1560 -9
274 1961 -4
274 4231 -6
274 6686 18
275 311 8
275 1228 17
275 2538 0
275 4327 -5
275 6003 -17
275 8609 20
275 9303 11
276 560 -20
276 735 2
276 1492 -19
276 1820 14
276 4667 -15
276 7031 -15
277 2441 8
277 9210 12
278 1512 -4
278 2002 2
278 5917 -18
278 6441 -8
278 9360 5
279 668 -17
280 1455 6
280 1508 -12
280 2611 15
280 3781 -5
280 4107 -20
280 4912 -7
280 8745 -10
281 3367 3
281 6253 -1
281 7028 -16
281 7686 20
282 68 4
282 143 6
282 715 1
282 6661 -10
283 403 -4
283 537 10
283 6841 9
284 2393 11
284 2852 5
284 7088 0
284 8152 8
284 9053 -9
285 3398 -19
286 1587 -11
286 3170 -15
286 3284 -10
286 5047 -8
286 5321 0
287 342 -17
287 564 -19
287 2521 -16
287 9194 13
287 9679 3
288 714 7
288 2855 7
289 1094 -16
289 1099 15
289 1981 -6
289 3902 0
289 5651 13
289 7740 -7
289 9252 7
290 930 -19
290 1878 20
290 3082 10
290 4379 16
291 12 -14
291 1945 -3
291 2972 -19
291 3855 -1
292 1088 -8
292 3471 -10
292 4219 11
292 5781 -9
292 7025 0
293 7184 15
294 2375 14
294 4827 18
294 6932 20
294 7552 -9
294 8869 16
295 1321 16
295 6407 13
295 7111 -6
295 7976 -7
295 8788 14
295 9078 -3
296 736 1
296 1313 -9
296 5692 -3
296 5703 -6
296 5985 -17
296 6561 13
296 6883 -2
296 7223 -17
296 7429 12
297 2027 16
297 3245 -7
297 9122 17
297 9518 -5
298 2950 10
298 3700 -4
298 5712 -16
298 6405 -1
298 6672 -19
298 7721 -6
300 4822 19
300 5400 15
300 9469 -3
301 4293 6
301 8172 12
302 2462 18
302 5217 18
302 7497 -11
303 3875 -16
303 4693 3
303 5617 -12
304 643 -19
304 5835 -6
304 8001 16
305 1253 9
305 4231 2
305 8433 17
306 2990 -9
306 7037 5
307 1160 -13
307 1516 -13
307 4489 1
307 9160 6
307 9528 17
308 974 -14
308 5160 1
308 7783 -12
308 8008 17
308 8036 -4
308 9915 -16
309 32 -19
309 1362 -14
309 3711 15
309 4768 -10
309 4833 -20
310 843 -11
310 1835 -19
310 4431 2
310 5046 5
311 3884 -2
311 7643 -6
312 580 -6
312 1306 14
312 5604 -7
312 7947 -3
313 349 -17
313 1834 -18
313 2115 20
313 2369 -6
313 2469 12
313 2734 19
313 3115 6
313 7709 -10
313 7841 -17
313 9080 -17
314 7587 -12
314 9698 9
315 590 12
315 2632 3
315 2770 -12
315 9771 19
315 9906 -12
316 2466 0
316 3287 -1
316 3574 16
316 4536 -5
316 7609 -9
316 7754 10
317 192 19
317 3154 15
317 8905 19
317 9370 18
317 9650 11
318 5434 -16
318 5490 20
318 7514 -20
318 8763 -9
318 8820 7
319 1462 1
319 2189 7
319 2883 -19
319 4895 -11
319 7226 -3
320 5509 15
320 6644 5
320 8180 15
320 8274 10
321 2503 4
321 2816 10
321 3692 -4
321 4730 -19
321 5548 14
321 6585 -17
322 103 11
322 1391 -4
322 2574 19
322 7327 -19
323 3919 -15
323 4237 19
323 5124 15
323 6440 17
323 7822 8
323 8692 -10
324 1622 15
324 2207 18
324 3665 4
324 8646 5
325 2824 -15
325 3564 -4
325 5424 -10
325 7182 6
325 7283 0
325 8156 17
326 6302 3
326 6682 -12
326 7500 14
327 880 -8
327 1481 1
327 1561 20
327 9115 16
328 766 0
328 4105 -8
328 7631 11
328 9684 -10
329 2786 4
329 5991 -8
329 7082 6
330 1198 -14
330 3534 2
331 3604 7
331 3793 16
332 1372 -20
332 6531 -18
333 474 16
333 2816 -7
333 5326 18
333 9152 -13
333 9630 -18
334 651 6
334 1155 -14
334 1320 7
334 1326 -10
334 3536 15
334 4189 3
334 7537 -3
334 7742 14
334 7785 -2
334 7853 -20
335 3197 -10
335 3541 -9
335 5944 5
335 5999 7
335 7453 -14
336 555 -14
336 6026 18
336 8533 -6
336 9029 -4
337 215 -7
337 3729 -2
337 5367 9
337 7333 15
338 2068 -19
338 8606 17
339 2796 12
339 5664 19
339 8757 -1
340 7604 -20
340 7907 -1
340 8773 19
340 9026 4
341 3310 17
342 149 -5
342 1903 12
342 9702 -18
343 5145 12
343 7762 -4
343 8559 1
344 675 8
344 2992 16
344 3082 -2
345 4346 -4
345 9038 13
345 9133 -9
345 9801 14
346 3644 -1
346 4316 -16
346 5391 -19
346 6015 8
346 9034 -20
347 255 -7
347 1066 11
347 4586 -19
348 668 -18
348 4989 -11
348 6498 -7
348 7801 -3
348 9107 -13
349 613 4
349 3211 2
350 1397 -9
350 5894 -15
350 6405 13
350 8585 -15
350 8714 2
351 6820 1
351 9812 -19
352 486 12
352 806 7
352 1870 -18
352 2321 -17
352 2948 -14
352 4836 2
352 8408 -14
352 8443 -5
352 9799 1
353 352 2
353 1196 7
353 1393 8
354 8132 0
354 9592 -14
355 3680 -14
355 4729 -8
355 5072 4
356 7032 20
357 2033 -9
357 2600 -8
357 5324 -2
357 6996 -12
357 7272 -19
357 8119 5
357 9275 -18
357 9696 2
358 2110 0
358 9234 5
359 891 -15
359 2081 12
360 3121 -3
360 3480 -19
360 4743 4
360 9848 6
361 1335 -11
361 3079 10
361 5827 11
361 7459 -4
362 1493 9
362 4017 -10
362 4353 -11
362 6121 16
362 6250 -16
362 6816 -20
363 2242 -7
363 6075 3
363 7064 3
364 2658 -9
364 2852 3
364 3111 0
364 3780 5
365 603 12
365 6397 15
365 8373 6
366 116 11
366 2227 10
366 3915 12
366 4277 2
366 7942 -8
367 717 -17
367 988 -10
367 5044 7
367 7407 14
367 7529 12
368 360 -19
368 9250 2
369 2991 4
369 5524 -8
369 7803 5
370 537 -14
370 1558 -10
370 1743 -6
370 3012 -12
370 5894 13
371 1342 20
371 1430 -20
371 3817 7
371 4648 10
371 5776 12
371 7692 -8
371 9281 -1
372 48 -8
372 232 -17
372 893 1
372 2310 -2
372 3585 -5
372 8914 17
373 3064 -14
373 3397 -10
373 4294 -19
373 7314 -18
374 293 -16
374 1128 -7
374 1818 19
375 601 0
375 4832 0
375 9643 -2
375 9751 -10
376 567 7
376 860 -1
376 1806 8
376 4921 -7
376 5884 -16
376 7968 7
376 9787 3
377 22 1
377 278 -18
377 1359 5
377 3713 -14
377 5440 10
378 8315 5
378 8415 7
379 5933 -11
379 7269 7
380 1063 -6
380 3422 16
380 3902 12
380 5348 3
380 9483 -17
381 329 11
381 6732 17
381 6877 -6
382 1411 -13
382 1669 18
382 4404 12
382 6447 -17
382 6792 0
382 7779 14
383 5047 13
384 2359 12
384 2405 -15
384 4547 -20
384 7129 -12
384 9751 8
384 9973 -15
385 1314 2
385 1409 18
385 2217 13
385 3915 4
385 4074 -11
385 5511 11
385 6835 8
386 1739 0
387 4236 -16
388 2388 -12
388 3669 -19
388 7136 -3
388 7566 17
388 8730 0
389 790 -9
389 2053 -18
389 5147 17
389 6788 -12
390 2484 -20
390 5578 0
390 6814 -2
391 3888 -18
391 5563 -15
391 6351 -16
391 8493 11
391 9291 12
392 8171 -14
393 2305 -12
394 7917 -14
394 9192 2
395 201 -2
395 1010 -11
395 1773 8
395 3087 -17
395 4470 -13
395 5323 12
395 5725 -4
395 8676 8
395 9806 -14
396 5722 -20
396 6262 10
396 6593 -18
396 7839 6
397 1183 9
397 3140 -3
397 3718 -15
397 5733 -15
397 7682 1
397 9344 -20
398 1377 14
398 2895 6
398 5536 9
398 7386 11
398 8166 -20
398 8863 -18
398 9412 -7
399 668 8
399 3200 19
399 4242 -4
399 6750 -2
399 8796 1
400 1365 -5
400 4283 -16
400 8388 -19
400 9892 4
401 460 5
401 1364 -11
401 3352 -14
401 8215 -19
401 9420 10
402 2909 -17
402 7060 4
402 7275 11
402 8688 17
403 135 -17
403 3158 -20
403 6942 0
404 1403 -20
404 3248 10
404 3593 10
404 3952 17
404 5853 13
404 5869 13
404 6259 6
404 9476 1
405 1829 -2
405 6706 11
405 7779 -14
405 8761 -4
406 399 0
406 580 -9
406 4243 14
406 8295 10
407 5125 9
407 5673 1
407 6633 10
408 2513 -5
408 4110 3
408 5372 -13
408 5481 -9
408 5994 -14
408 7152 -20
408 8752 2
409 6963 -13
409 7481 -16
409 8197 10
409 9152 -15
409 9960 -15
410 1137 -5
410 6765 8
410 7764 -2
411 9769 -19
412 1068 15
412 4531 7
413 2185 -9
413 3886 -9
413 8365 -16
413 9064 -8
414 2213 -7
414 4094 10
414 6762 -10
414 9284 11
414 9842 -5
415 3758 -1
415 5156 11
415 6925 4
415 8310 -14
416 1703 8
416 9370 8
417 1507 20
417 3284 -6
417 9942 -3
418 44 20
418 505 -4
418 1149 10
418 4168 -20
418 5604 -19
418 7345 11
418 8968 1
419 1494 20
420 3860 -9
420 5327 1
421 1331 18
421 1911 6
421 1940 8
421 3338 -9
422 997 0
422 6094 10
422 8181 -2
423 2249 14
423 8861 14
424 441 -1
424 1797 -5
424 4663 10
425 1143 -11
425 5060 -13
425 5773 -5
425 6892 -3
426 3047 13
426 6272 -10
428 20 3
428 2693 -3
428 4896 20
428 8525 0
428 8729 -8
428 9967 -12
429 1640 17
429 4914 -1
429 5162 8
429 7302 14
430 339 6
430 2734 19
430 3931 0
430 6044 -5
430 6531 19
430 7738 -19
430 8759 -7
431 716 8
431 4664 -6
431 5905 -11
431 6533 20
432 2127 -6
432 4768 -18
432 6718 -12
432 7544 -12
432 9072 -16
433 2884 4
433 5034 -17
433 7207 -8
434 799 -4
434 1270 -16
434 1950 3
434 6180 11
434 8206 -18
435 300 -3
435 1698 11
435 4520 8
435 4912 -11
435 5366 -20
436 3151 -13
436 3544 -8
437 227 -17
437 1969 9
437 3341 15
437 3852 11
437 5476 -7
437 5729 20
437 8121 -19
438 436 -9
438 918 10
438 4307 9
438 5455 7
438 8800 12
439 718 -6
439 6279 18
439 7783 7
439 9951 -18
441 1097 -8
441 1338 -14
441 6279 -6
441 7033 17
441 9276 20
441 9549 7
442 142 -17
442 3599 10
442 4404 -7
442 8641 -9
442 8970 -14
443 942 -16
443 1801 -19
443 3574 -11
443 5534 -14
444 2425 3
444 4951 -5
444 6068 3
445 1124 17
445 1192 -14
445 1233 12
445 4918 -11
445 7946 8
445 9156 14
445 9971 17
446 1020 -16
446 4282 -12
446 7827 -7
446 8541 -20
447 4173 -10
447 5508 -7
447 7584 4
447 8954 17
448 960 -5
448 1768 -13
448 4107 16
448 4351 3
448 5531 -13
448 6072 -8
448 6789 13
448 8932 7
449 1855 17
449 7659 5
450 2472 -18
450 4531 12
450 8224 -8
451 1236 -3
451 1473 -12
451 2127 6
451 2180 -3
451 3730 -9
451 9313 -15
452 6382 -14
453 1251 -9
453 1828 -6
454 289 17
454 422 -7
454 6502 -1
455 1035 17
455 1687 -5
455 2445 18
455 3316 -11
455 5146 -2
455 8203 -8
455 9383 -18
456 26 14
456 1897 0
456 5121 17
456 5903 11
456 9280 1
457 1993 -13
458 684 3
458 907 -5
458 5025 15
458 6931 6
459 4073 3
459 6198 9
459 8384 5
460 1514 -9
460 7878 9
460 8382 8
461 448 -2
461 624 -11
461 3110 20
461 5236 -9
461 8996 -19
462 789 19
462 3330 -12
462 5404 8
462 6275 -7
463 227 -2
463 5939 14
463 9355 -20
464 1883 1
464 4884 1
464 5390 -14
464 6625 0
464 8280 1
464 8761 -7
464 9941 -17
465 4371 18
465 5290 18
465 5458 -17
465 5774 -12
466 423 -11
466 932 -15
467 4935 -18
467 5695 7
467 7688 2
467 9529 8
468 1778 17
468 4233 11
468 5572 2
468 5589 -10
468 5630 -12
469 8363 -15
469 8710 -9
469 9549 -8
470 5309 -6
470 6556 -10
470 7891 -20
470 9887 -12
471 6396 -13
472 1641 -10
472 1759 6
472 3011 14
472 3379 -17
472 6071 3
472 6900 4
473 3430 -13
473 5886 -12
473 6770 5
473 7296 -14
473 7489 10
473 7850 1
473 8470 2
473 9093 13
473 9819 17
474 6001 7
474 8333 -14
475 1466 -6
476 619 18
476 1949 -16
476 2825 -10
476 3597 -15
476 4850 -19
476 9521 17
476 9789 -10
477 1151 11
477 1315 2
477 3442 -1
478 465 -8
478 1975 20
478 8370 19
478 9328 18
479 932 13
479 1825 -6
480 4142 1
