1000 4000
352 768 1
625 561 -7
253 409 18
970 285 -10
399 868 10
41 306 11
77 419 -7
479 507 10
141 594 -1
418 353 15
31 426 6
942 962 8
80 207 -20
591 337 1
707 933 -18
786 542 10
716 927 6
909 514 -10
849 842 19
232 225 -7
25 663 -12
370 404 -11
599 424 15
892 35 6
69 851 -17
873 981 -1
878 636 -8
260 290 -10
212 584 -4
578 148 8
273 957 -16
5 816 11
116 325 6
64 6 8
542 220 -18
369 113 20
224 772 3
595 315 12
902 150 12
568 733 20
28 620 5
859 127 15
425 327 7
852 429 2
58 642 9
88 560 11
947 959 -13
860 532 -1
72 990 -9
225 509 15
834 154 -5
742 634 -15
596 580 -8
840 955 -6
291 545 -4
860 263 -1
626 598 9
710 921 7
412 556 -15
983 201 -8
535 438 -15
52 51 10
205 29 9
667 556 -12
206 118 -12
164 140 8
590 184 3
56 239 -20
702 934 -5
749 753 17
906 440 19
691 421 15
191 374 0
831 567 -11
124 374 17
864 860 -18
481 654 -17
196 208 -7
312 683 15
571 504 -15
42 239 -11
510 706 -14
356 453 7
855 870 -20
226 186 -4
21 807 -2
513 609 14
308 686 -11
886 738 -9
26 180 -3
866 280 9
54 770 -4
357 4 18
509 877 15
382 643 8
545 447 12
657 38 -11
50 455 -8
974 200 14
263 900 12
506 480 8
525 102 6
543 532 5
698 301 -15
805 45 4
102 385 11
641 232 17
124 3 3
72 257 6
244 1 10
388 884 -6
620 753 -5
752 372 2
886 89 6
785 889 -19
557 4 13
676 411 -15
992 707 17
986 869 15
270 561 11
640 636 17
322 632 -1
859 874 -8
535 552 -15
132 424 -18
100 449 -20
635 755 17
457 276 -20
968 829 8
614 474 15
293 702 10
224 367 17
525 294 -17
942 813 -9
222 362 -10
921 411 -14
754 385 10
188 575 -9
443 707 -2
26 184 16
746 267 13
899 515 -18
312 598 4
269 190 16
358 785 -1
393 235 -9
37 697 -12
921 722 5
19 144 -8
916 852 -15
557 663 -18
229 49 -15
405 660 8
900 626 13
491 439 12
604 115 -3
981 803 -2
487 450 -6
743 324 12
981 947 -16
433 549 16
225 597 -6
209 774 20
322 721 -18
96 775 -6
360 31 -4
477 110 16
796 596 -2
201 824 -18
204 118 2
249 284 -6
939 903 15
244 454 10
601 525 -11
52 264 16
989 728 18
417 669 -15
124 220 -6
79 993 -8
583 224 19
247 743 -16
62 114 8
826 324 7
760 925 1
159 341 7
957 737 8
748 950 1
388 788 7
733 460 -10
732 50 0
617 202 -4
22 918 -6
376 384 20
641 961 -14
208 978 20
527 816 6
286 805 -14
871 775 15
493 466 5
167 477 3
166 802 10
661 538 5
960 607 -14
908 911 -11
417 127 5
291 629 -13
683 667 -9
849 615 -15
949 558 -17
870 179 2
886 243 -17
896 976 1
313 293 -11
568 38 -2
800 215 -20
325 429 -4
135 713 7
282 181 18
33 959 10
614 198 3
601 760 2
127 595 -19
574 912 -6
555 575 -6
335 194 -6
848 20 0
622 152 0
238 889 8
652 316 -15
717 728 6
769 772 11
20 707 16
298 416 -8
929 344 4
316 154 -17
181 825 10
861 285 0
315 623 -8
176 907 -12
598 881 -19
141 0 0
551 268 -13
119 464 14
348 605 -15
767 507 2
580 573 4
32 136 -9
106 873 7
698 989 7
688 746 -9
118 612 -18
727 344 14
296 440 1
632 623 -9
202 463 3
506 204 -3
374 325 -9
707 643 13
444 857 -8
49 580 -10
383 608 -7
625 11 -10
354 283 17
785 683 8
520 1 -1
161 875 -13
322 807 13
623 10 -4
984 443 19
331 805 1
723 736 4
963 365 14
187 645 14
446 684 0
873 878 9
988 529 4
870 174 -18
900 896 -5
355 561 16
187 328 0
190 331 15
857 959 -20
703 242 -14
306 953 0
288 925 -17
201 182 12
974 592 18
139 838 8
926 957 13
811 297 9
832 905 7
2 461 -16
98 66 11
82 483 -1
248 740 -1
507 129 -2
183 141 14
496 856 -16
710 18 -1
651 336 -13
605 648 -18
215 835 -2
969 353 -15
102 984 10
356 266 14
483 936 1
305 711 11
738 411 11
662 310 9
428 178 -16
276 188 5
551 869 6
68 618 -11
735 486 -2
308 176 -3
962 378 17
380 883 -20
582 873 -17
14 141 -20
931 512 -2
959 925 -17
215 952 -11
736 439 13
277 807 -17
795 163 -11
12 201 -6
528 635 1
512 253 6
140 536 15
617 215 -18
226 594 -10
582 93 -1
538 239 13
724 768 -14
884 632 10
256 64 14
774 532 -18
85 818 -11
633 54 4
399 663 -4
595 182 -5
12 712 -7
475 859 8
833 90 16
611 123 -9
740 827 12
794 894 16
885 814 2
901 407 -17
389 98 -20
112 505 -9
218 121 11
602 342 -8
238 179 16
344 407 12
454 771 4
101 968 -16
308 685 -15
404 949 -12
856 479 18
898 354 -17
534 720 -18
836 479 0
76 108 2
320 168 17
457 22 11
692 568 -3
194 610 -9
941 313 -12
606 826 -19
867 438 -10
186 852 9
837 493 -9
499 844 3
161 371 -9
131 795 -15
560 113 -12
590 228 5
453 288 -13
343 968 -18
271 534 -3
416 650 -13
725 714 15
537 731 0
980 662 10
703 676 -12
756 879 13
378 798 -18
538 784 -10
204 42 10
907 895 -5
233 75 12
580 111 -5
486 679 -2
482 988 18
109 800 3
744 454 -16
708 158 10
856 680 -11
376 801 -12
914 695 20
352 849 11
101 29 -20
984 13 3
487 953 5
468 790 -7
265 690 -10
278 225 7
60 684 -16
44 27 -17
401 660 -1
819 955 15
761 393 -20
509 437 -17
462 851 19
288 958 -8
751 796 -18
510 878 19
254 609 12
918 107 -18
706 411 -9
623 675 2
342 110 13
933 170 -9
450 870 -18
377 886 12
618 292 15
613 149 -12
571 161 -3
193 127 -5
682 493 1
704 768 -15
605 304 -4
300 576 14
997 434 9
579 533 -3
566 145 -19
90 770 -7
663 579 4
309 342 -1
610 777 -1
456 680 17
345 368 -13
793 612 5
368 347 -13
438 762 20
850 620 -5
943 873 15
412 272 3
262 972 -13
917 446 -15
550 87 -6
590 447 -6
828 975 -3
372 912 -15
438 944 1
877 332 15
282 564 7
728 871 -7
33 305 6
366 737 9
685 994 -13
289 856 -9
902 617 -9
172 217 15
330 89 -20
566 550 5
683 157 -17
8 746 7
283 764 -11
722 170 8
871 691 13
862 868 -6
11 637 19
363 588 -12
519 527 17
988 494 3
606 33 3
29 978 -14
282 453 -9
310 126 -1
48 949 4
857 886 -1
282 618 -9
63 210 5
173 422 -20
295 211 -10
536 748 3
942 585 1
502 739 -1
807 94 14
369 331 2
310 875 -14
420 752 3
548 333 -8
166 302 7
280 53 18
359 487 -12
716 346 11
128 435 18
497 873 -11
912 273 13
22 872 -20
725 630 -11
217 253 -14
422 317 -3
33 906 -19
210 911 10
267 864 6
452 29 2
703 536 -3
79 766 -2
481 515 19
578 173 -6
213 49 -19
943 917 -19
251 183 -4
968 615 -8
325 601 -1
119 404 -15
782 335 1
18 624 -19
328 899 19
947 555 -8
578 448 20
307 184 2
798 124 13
64 902 13
157 169 -5
949 209 8
52 432 1
278 499 -2
549 996 -15
548 485 0
252 494 19
239 226 -11
51 829 17
106 743 -10
324 844 9
23 363 7
986 26 -7
53 379 12
447 810 14
775 897 -3
485 276 -13
716 134 17
483 616 9
947 613 -11
737 457 12
262 199 -2
553 696 -13
377 606 11
413 232 7
559 48 14
378 679 5
567 1 19
555 547 -14
535 364 -3
260 2 18
388 400 1
601 853 14
83 574 11
356 47 11
911 946 17
647 902 -20
519 198 14
364 396 -20
532 193 13
448 638 -4
533 708 -2
161 608 6
113 810 -13
807 336 15
14 785 15
620 212 -14
894 380 12
673 823 15
587 915 10
639 452 -8
650 405 -4
582 323 -13
464 892 6
714 808 14
516 663 15
992 88 -20
171 71 20
588 27 16
964 185 19
896 716 10
492 764 11
344 22 -15
797 137 -9
236 946 6
688 789 5
638 96 -9
590 270 14
739 449 17
401 881 -4
119 328 -16
376 837 -20
782 256 15
491 191 -15
473 604 -7
977 575 15
519 62 8
272 219 2
858 598 -19
766 114 6
150 988 -20
565 897 18
23 710 -17
294 932 0
574 398 1
294 142 -5
913 643 11
593 569 9
688 584 -2
20 652 4
520 901 16
169 755 9
507 672 11
671 446 -10
576 761 14
723 495 -2
439 308 -8
192 610 0
898 700 -11
892 227 10
425 438 -20
349 465 0
587 544 -2
622 774 -12
182 14 -19
990 164 -9
657 277 19
758 657 12
216 779 -6
267 322 -1
769 792 2
564 498 12
61 800 -14
734 696 0
654 781 14
235 728 -9
698 121 -4
616 829 16
583 973 13
582 687 5
612 8 -6
676 960 -18
26 695 2
217 796 -19
232 860 -19
916 110 10
54 685 -2
963 162 -10
564 687 8
136 950 10
489 55 -17
542 250 9
89 743 -11
456 843 20
100 475 -3
937 624 11
24 166 15
559 526 18
568 623 6
203 919 -3
941 366 -17
587 150 -13
845 573 18
420 73 -9
623 556 -18
331 506 -17
386 665 -2
658 456 -8
752 880 -18
858 235 10
533 175 13
710 538 11
753 152 17
755 456 -18
843 725 15
413 913 -14
237 121 10
519 804 18
308 733 -12
575 91 11
942 260 13
126 144 12
916 566 -19
783 51 11
734 585 0
61 481 10
735 209 6
824 502 -5
409 143 -11
279 899 3
933 582 0
259 422 -12
179 526 15
428 899 -5
161 733 -19
105 137 6
816 168 -10
144 270 -8
199 580 -14
313 381 3
304 634 -15
681 514 7
184 96 20
513 83 7
821 613 14
372 658 -15
172 325 -5
927 806 -16
118 123 10
721 589 -8
139 813 17
891 348 -12
232 432 -18
995 69 16
310 283 -6
602 433 12
480 117 13
70 498 -19
73 806 7
74 636 -12
226 771 14
87 521 5
184 102 -5
375 455 6
183 239 7
264 690 -6
998 15 9
173 643 -20
203 510 7
738 225 -7
400 756 -20
677 264 0
263 344 17
520 635 -6
821 792 9
765 625 12
379 444 11
241 973 18
123 741 -17
371 161 -10
240 615 -13
861 386 14
621 494 -13
150 127 -13
155 948 -10
491 373 1
54 125 -17
600 86 17
5 84 17
480 129 16
566 995 9
460 800 0
612 216 3
460 295 8
792 648 0
821 513 -2
393 180 17
727 21 9
669 894 -2
962 840 -8
831 869 -10
589 310 8
91 97 -16
229 658 13
815 343 -12
308 220 15
520 238 -16
884 329 -4
666 328 12
127 272 -12
424 489 -20
42 153 11
98 945 -17
309 276 -9
192 322 -6
644 429 17
965 64 -19
976 913 0
918 88 13
773 772 17
448 610 13
447 525 -10
784 36 -3
464 950 11
580 817 -2
803 296 18
521 642 16
955 41 2
593 155 14
914 80 -4
8 867 -12
35 428 -8
702 316 11
614 845 -12
381 624 13
970 301 -2
331 312 17
370 978 8
913 55 -14
637 216 14
242 633 -3
983 750 7
546 868 11
303 788 -11
967 262 10
139 657 -5
1 607 -13
260 846 -9
192 572 6
10 350 2
118 996 14
490 966 1
551 332 0
377 609 -15
35 751 -4
109 179 -13
414 690 -4
646 154 12
128 743 5
919 966 -18
296 921 -4
337 32 4
170 301 16
117 654 3
339 999 8
517 546 -2
535 507 11
858 942 19
36 876 1
745 466 -18
581 565 -6
471 917 -3
376 159 -4
130 455 9
364 157 -3
880 544 -19
713 668 -17
378 816 6
858 500 -17
651 477 4
727 615 6
249 388 -14
204 393 -2
514 543 17
640 923 -12
352 757 12
277 270 -18
123 446 -9
481 639 2
985 269 -6
740 411 16
224 274 6
76 626 14
193 691 6
753 987 4
123 985 1
227 391 8
55 321 -13
686 121 -15
64 824 -7
861 606 20
946 558 17
167 278 11
652 707 14
409 885 1
775 985 18
80 97 -7
940 483 -17
717 525 13
155 533 11
585 58 -12
743 264 17
510 415 -9
581 864 -3
143 838 11
549 341 10
135 353 0
657 367 0
492 214 -8
504 243 -17
719 4 -20
517 925 9
52 644 15
985 619 -14
982 445 -11
533 495 13
527 846 2
178 423 18
106 347 10
464 644 -20
66 492 12
559 569 -15
176 527 -2
774 189 -4
239 874 -10
166 571 8
133 640 14
255 455 10
636 159 18
610 30 -16
416 942 14
19 305 14
963 732 6
46 67 15
818 351 -6
36 934 -5
101 279 -13
742 535 -9
487 559 -8
55 124 14
785 225 5
445 193 19
681 326 16
942 328 -18
511 148 17
343 914 16
30 697 -18
537 992 14
234 997 20
778 395 -12
672 46 -4
911 231 6
518 658 19
816 820 9
706 253 10
350 556 -16
556 718 14
462 340 4
171 956 7
188 439 -1
340 593 -10
899 862 6
494 871 -11
271 952 11
907 774 8
766 876 9
27 493 -8
846 774 -11
320 914 6
655 749 -14
539 495 10
855 753 -1
423 896 -19
968 181 8
76 778 16
612 342 -14
171 31 6
52 515 14
683 466 -13
103 486 -13
55 672 15
624 943 -15
797 443 -9
196 505 12
967 386 -16
249 435 20
831 198 9
673 969 6
126 208 -6
843 815 -4
15 375 17
729 801 7
637 710 14
307 335 3
873 303 -19
704 416 0
199 713 7
968 991 -14
972 521 15
239 858 -15
678 44 -1
419 599 5
910 341 8
331 722 15
465 150 17
9 971 -19
398 445 12
393 359 -3
846 160 16
171 767 -20
183 611 0
269 519 1
997 389 -16
96 184 18
751 417 -6
400 628 -5
959 836 -8
853 419 -18
520 726 -2
381 612 -8
13 848 7
457 60 -2
218 470 -13
458 959 8
346 493 -18
425 224 1
927 842 11
981 687 -6
162 269 9
778 450 7
269 403 -2
25 584 -17
125 601 -9
818 833 10
884 998 -20
64 204 1
210 26 -16
327 462 -5
91 863 -4
297 466 -15
960 526 20
251 346 2
932 198 14
704 86 -2
938 589 -1
151 576 -5
914 426 11
652 199 17
561 538 20
915 254 6
245 104 3
288 957 -1
312 171 -12
376 22 3
393 774 -10
112 39 -1
52 715 -4
58 815 -14
769 167 18
478 383 18
738 535 0
953 280 -13
703 846 9
616 342 12
745 963 10
283 820 -12
194 801 -19
756 358 -5
91 435 -9
57 269 -7
202 401 -6
576 76 4
812 30 10
444 48 1
721 854 16
891 71 -5
232 654 -5
528 33 6
681 9 -19
413 322 -2
438 315 -12
618 390 -6
71 53 -3
695 824 7
216 260 -11
942 628 15
391 426 6
710 918 7
813 527 -16
272 62 -1
724 812 -1
6 227 -17
518 226 5
772 345 19
724 941 4
94 988 9
451 554 -17
117 51 18
580 842 6
720 636 -9
674 711 3
484 297 20
966 469 -3
205 414 10
297 633 -1
790 202 -10
213 138 1
920 415 -4
667 560 -5
635 923 -16
174 264 8
745 323 -2
498 978 -10
279 635 4
316 945 -8
40 343 -14
609 735 -3
797 520 15
487 668 -1
931 306 -1
190 747 4
669 681 14
996 867 8
790 312 9
54 479 16
139 691 19
260 84 -14
628 256 -11
363 426 5
22 405 6
517 7 -4
926 578 20
642 931 12
618 441 13
115 720 19
389 939 9
176 654 14
725 158 1
968 816 20
311 569 2
423 595 13
230 212 -17
934 580 6
135 680 -13
362 308 -15
649 104 -18
479 129 10
87 363 10
716 227 -9
685 337 -10
797 830 -3
744 400 1
781 545 3
781 911 5
49 697 -6
666 701 -11
597 780 -16
10 633 10
652 644 16
785 394 3
839 186 -4
817 597 6
103 539 -6
389 278 -11
795 987 -2
210 689 -20
381 645 -17
672 104 9
531 785 -5
472 513 -5
629 783 3
426 574 9
866 501 17
740 435 11
872 665 20
387 690 -15
290 508 8
141 37 9
888 23 -6
411 830 -20
37 137 7
927 138 -20
752 452 5
679 438 6
723 490 7
367 330 -17
864 525 -6
749 682 0
852 322 8
361 108 -6
90 90 13
150 916 6
140 865 -14
324 386 20
783 15 15
142 197 -11
726 879 -7
695 333 17
698 85 0
725 53 -16
486 743 -20
410 74 12
361 515 11
824 8 -11
164 680 3
970 545 18
332 189 11
67 21 16
622 4 -20
440 999 -19
124 899 9
899 859 -18
707 945 0
72 864 7
700 259 -3
156 893 -3
677 598 13
954 937 8
145 494 -4
241 826 19
722 471 -8
208 50 6
363 566 -15
237 98 -17
300 892 -4
394 4 1
33 398 8
928 413 12
778 394 -11
362 691 -13
215 625 -5
710 328 2
448 890 16
256 760 4
856 483 -16
519 608 -12
890 988 -11
193 561 12
733 210 -3
65 196 -8
726 156 0
145 744 6
378 205 9
999 575 -18
869 208 13
102 316 17
435 895 8
583 322 -2
682 594 -2
935 737 -18
974 944 -17
605 341 -18
740 935 9
634 301 19
584 700 7
479 629 -11
617 842 -3
270 199 13
250 367 20
125 250 -9
200 911 -13
724 731 -9
151 341 -18
140 982 19
158 692 -17
531 906 9
15 382 17
654 550 15
295 783 12
29 685 12
282 585 -11
625 164 2
308 29 -7
50 265 -12
66 132 -18
510 176 -14
329 531 10
152 661 -10
938 874 2
46 21 -18
732 656 12
203 717 12
823 687 20
555 909 -7
19 67 8
14 461 10
460 272 15
195 814 6
312 418 11
270 317 -11
277 80 -1
507 72 13
147 667 10
349 898 -10
867 213 -6
317 950 19
691 774 7
828 17 -6
225 505 20
761 815 14
455 3 17
765 767 -1
436 979 -4
208 650 20
913 570 0
31 273 -14
496 549 19
140 19 -12
749 244 13
717 618 -6
948 852 -11
664 952 0
889 716 11
22 989 -1
566 680 -4
711 161 8
708 599 -19
117 447 15
403 674 8
864 54 4
919 349 -12
515 443 -14
124 66 -14
52 539 4
871 244 -10
565 529 4
340 463 -11
94 325 7
576 312 -4
455 314 4
297 496 20
716 846 -15
115 663 -15
369 35 -8
334 538 2
892 472 -4
584 692 -3
900 132 -1
489 944 -3
689 410 -13
866 473 2
517 396 20
81 749 13
524 652 -3
464 674 17
344 335 9
500 136 14
701 374 16
734 201 -5
766 360 -4
214 12 15
652 90 6
715 757 20
683 430 -3
172 864 12
833 310 2
589 459 -3
558 100 -4
101 347 -1
284 311 -18
486 103 -8
645 244 13
737 83 -16
701 486 -12
738 103 -10
413 356 5
343 28 16
216 632 4
60 107 -9
651 290 -8
294 430 -13
946 861 -12
685 196 11
828 733 -12
798 991 5
367 620 -8
281 147 -11
195 731 11
799 480 18
844 373 2
384 419 1
504 249 -16
272 445 -20
616 821 4
821 215 17
834 83 -9
434 818 -10
568 715 18
809 12 2
335 367 -2
414 654 13
360 924 5
124 715 13
928 824 -19
70 27 -3
682 619 -1
380 357 0
463 198 7
736 54 -8
961 550 14
386 335 7
295 588 8
154 883 12
490 505 13
284 908 12
138 55 -18
544 121 2
213 816 -6
89 47 -13
596 648 -1
918 311 -6
372 665 20
778 399 -6
176 273 -8
922 774 -10
682 485 12
823 636 8
198 238 -16
121 550 -3
518 364 13
162 506 -5
837 735 -6
536 295 15
36 819 8
507 296 -2
561 983 -5
89 826 -15
928 634 -8
699 608 -7
48 316 -11
170 558 0
892 447 2
391 572 -18
493 460 18
24 228 15
784 497 14
985 485 -3
566 421 -4
973 973 13
439 955 -9
706 903 17
719 529 8
271 646 18
772 163 -14
886 207 -4
177 937 -6
138 498 20
203 538 -10
734 965 5
302 774 -2
404 446 17
199 988 18
261 453 7
669 21 -11
180 708 12
969 918 13
587 866 2
376 563 -11
49 111 -18
46 450 -2
666 430 -18
926 195 -8
125 793 -4
702 465 5
626 948 -10
384 491 -16
932 970 3
108 704 -5
304 695 2
184 650 13
791 222 -15
898 186 14
15 250 -5
224 355 -4
339 430 14
383 626 17
791 450 3
917 781 0
964 524 -12
517 795 -4
549 903 9
772 394 -7
100 341 -3
897 300 -19
18 505 -11
794 301 6
154 719 -2
268 238 7
359 60 2
281 293 -6
391 515 -8
17 430 -2
852 986 -5
959 889 2
584 935 10
34 174 8
811 438 -9
576 130 5
810 452 18
602 108 -19
803 659 1
599 127 -4
592 376 -7
964 466 19
109 770 -16
658 909 8
547 656 -7
586 54 -15
17 383 -18
724 626 13
291 104 10
313 368 -6
300 768 -6
380 983 -15
583 53 -13
358 164 5
286 853 3
945 33 -9
685 791 -2
25 160 -18
66 177 -12
14 289 15
428 913 -3
679 759 4
101 989 3
488 853 -2
404 969 -11
166 640 16
192 808 20
66 689 10
665 754 0
741 993 6
568 149 18
365 413 0
872 666 12
648 243 -3
595 476 17
72 258 4
207 102 -7
835 110 13
981 549 -20
827 278 4
569 48 0
823 238 -2
379 293 -9
281 662 -3
518 168 6
849 643 5
828 936 -17
928 207 3
256 540 -5
603 990 15
777 317 19
236 416 6
830 99 15
7 388 17
331 309 -4
488 839 11
212 482 -1
24 628 4
511 470 -9
700 826 4
48 528 3
380 363 6
728 627 -18
692 101 -6
475 513 17
571 544 0
972 110 20
637 857 -7
755 926 -3
925 843 5
307 990 13
835 692 13
193 638 -1
115 22 16
925 43 3
351 200 12
843 269 -10
890 349 -3
379 424 -18
112 400 16
242 843 4
560 639 -2
305 364 3
958 138 -4
28 890 -19
176 985 0
227 845 9
36 735 -3
989 534 -4
764 699 -19
319 444 -13
337 593 11
95 138 0
176 919 -9
316 889 15
165 927 13
25 63 -7
776 485 -3
523 475 -16
955 516 0
485 476 -20
289 496 -16
576 633 -9
830 302 -16
497 135 20
704 443 -12
663 174 10
888 250 -17
275 626 -3
216 598 -1
293 26 -11
26 598 10
367 747 19
156 557 7
36 778 -7
338 480 11
517 261 11
743 693 -20
340 1 -4
622 829 -14
638 364 6
311 297 -1
807 194 5
774 378 -14
436 1 -1
329 620 15
205 488 -4
156 312 -10
340 850 -7
49 656 20
770 317 16
510 705 4
644 421 -14
980 627 -15
884 125 7
380 771 12
850 791 20
871 166 -10
482 813 20
118 375 -20
977 862 14
448 618 12
218 751 7
243 844 -4
162 48 6
937 684 8
815 818 7
492 579 1
581 833 -15
581 146 17
437 444 15
705 680 20
319 956 15
388 802 0
433 963 -17
944 896 -9
289 965 3
476 58 -1
348 365 -16
798 438 0
960 104 -2
673 99 -5
866 791 -14
268 685 16
278 575 -9
500 338 -9
860 700 -7
260 35 -11
576 589 -9
123 710 19
962 57 -13
969 835 -6
891 422 10
328 692 9
424 425 -17
76 764 18
691 161 10
207 604 3
121 574 -12
460 478 -10
652 558 -7
34 357 19
779 480 -18
232 547 9
470 211 11
643 264 -19
308 221 6
347 944 -12
967 226 -9
532 135 3
348 994 -13
191 427 -19
95 421 -20
467 160 18
267 980 10
745 7 -19
381 764 -7
523 722 -13
990 13 -5
578 918 10
670 811 -15
90 912 -18
757 676 14
915 296 -4
810 9 -4
201 843 -11
538 551 18
831 294 -19
311 951 -2
998 745 13
91 203 17
457 436 -20
510 181 0
711 343 17
592 841 -5
69 713 3
532 608 -7
102 977 -14
919 608 11
714 856 -17
816 467 -10
447 277 9
150 679 -7
889 794 6
762 297 -12
36 981 -6
817 814 5
149 921 17
297 38 7
155 360 10
380 405 -1
754 424 2
508 183 13
740 785 -6
436 290 -7
779 751 -10
877 562 -13
939 807 -6
125 780 0
235 941 -12
719 839 -13
356 456 -1
806 824 -19
687 584 11
539 850 6
912 873 -2
365 428 11
293 466 4
707 668 -6
502 334 4
486 41 -18
859 827 16
674 671 5
381 918 -4
592 590 -3
986 421 14
535 854 -17
460 859 16
330 467 -12
828 941 3
675 682 5
503 424 -11
933 678 11
333 444 10
930 156 4
992 996 -11
827 807 -17
767 786 -13
820 820 20
308 964 -2
902 435 11
230 928 5
64 96 -4
534 609 20
641 747 14
553 982 10
88 589 -20
464 777 -10
647 363 -9
345 563 16
715 280 -11
563 421 -12
465 536 -11
715 712 11
905 552 0
496 348 -1
799 535 3
692 52 -13
909 573 -16
49 486 -14
289 802 19
442 885 14
994 35 -13
946 778 -8
366 615 -6
890 555 13
556 149 -19
75 431 13
702 677 9
682 103 11
910 235 2
805 227 9
987 731 -17
336 691 10
912 29 -8
37 682 -13
591 606 0
482 943 -7
981 53 19
556 38 1
682 267 -6
209 893 -1
17 666 9
132 414 14
769 828 -9
840 335 8
862 98 1
675 875 13
306 165 17
940 159 2
723 58 17
609 18 6
549 316 11
209 188 -17
858 49 -6
519 586 -10
243 703 -14
513 759 12
592 537 -4
775 50 6
998 145 -14
406 635 12
358 131 4
722 545 2
367 644 -14
171 927 7
534 375 -10
950 186 9
562 240 -8
326 763 4
107 682 20
424 485 9
348 373 -17
836 73 -4
615 959 12
0 814 13
694 232 -10
66 861 17
816 785 -16
555 954 -15
116 369 -16
8 734 -10
65 506 7
995 438 13
117 535 8
360 46 5
157 883 16
579 888 10
494 194 -2
628 330 13
350 4 3
477 346 13
710 655 15
364 709 -11
730 790 14
40 855 -9
180 561 1
617 149 1
680 634 -4
912 61 -12
844 309 -2
149 395 -20
272 11 11
84 462 16
401 573 -6
702 158 3
427 83 -16
956 686 7
893 268 -12
442 527 20
976 34 11
936 936 3
739 343 4
679 929 10
212 79 -16
872 464 2
500 304 1
731 42 -17
691 915 10
719 231 4
827 86 6
688 526 -4
144 80 -9
815 233 -12
786 896 1
936 389 -5
636 952 -5
945 131 -14
891 154 3
350 649 13
333 823 15
801 174 0
405 962 -2
470 502 -15
53 698 -4
946 411 11
198 312 -13
479 241 -14
940 920 6
643 749 -14
734 660 9
569 366 -20
788 989 13
395 740 -10
9 36 1
39 671 6
640 561 9
964 424 -19
563 80 18
530 634 5
741 138 14
324 316 11
955 775 5
387 968 15
4 938 -10
846 558 -3
377 664 -7
254 377 16
496 134 -7
747 942 9
630 733 17
321 704 8
87 301 12
700 802 -3
619 735 -14
644 435 -10
302 151 19
147 403 -8
